case_id,source_case_id,family_id,sector_skin,render_profile,hop_depth,v5a_pilot_bucket,model,model_slug,zip_path,exported_at_utc,task_passed,run2a_pass,run2b_pass,run2a_score,run2b_score,scaffold_case,reverse_scaffold_case,both_fail,citation_key_delta,citation_coverage_delta,prior_anchor_suspected,status
CUCV5-CONFLICT-RECONCIL-05-SECURITY-INCIDENT,CUCV4-CONFLICT-RECONCIL-05-SECURITY-INCIDENT,conflict_reconciliation,security_incident,board_update_v1,2,grounding_heavy,Claude Sonnet 4.5,anthropic/claude-sonnet-4-5@20250929,C:\Users\chris\Downloads\results (41).zip,2026-04-13T17:25:12Z,True,True,True,1.000000,1.000000,False,False,False,8,0.000000,True,success
CUCV5-CONFLICT-RECONCIL-06-LEGAL-CONTRACT,CUCV4-CONFLICT-RECONCIL-06-LEGAL-CONTRACT,conflict_reconciliation,legal_contract,legal_formal_v1,2,grounding_heavy,Claude Sonnet 4.5,anthropic/claude-sonnet-4-5@20250929,C:\Users\chris\Downloads\results (41).zip,2026-04-13T17:25:12Z,False,True,False,1.000000,0.633333,True,False,False,8,0.000000,True,success
CUCV5-CONFLICT-RECONCIL-07-PROCUREMENT-REVIEW,CUCV4-CONFLICT-RECONCIL-07-PROCUREMENT-REVIEW,conflict_reconciliation,procurement_review,procurement_memo_v1,2,grounding_heavy,Claude Sonnet 4.5,anthropic/claude-sonnet-4-5@20250929,C:\Users\chris\Downloads\results (41).zip,2026-04-13T17:25:12Z,True,True,True,1.000000,1.000000,False,False,False,10,0.200000,True,success
CUCV5-CONFLICT-RECONCIL-08-COMPLIANCE-AUDIT,CUCV4-CONFLICT-RECONCIL-08-COMPLIANCE-AUDIT,conflict_reconciliation,compliance_audit,compliance_memo_v1,2,grounding_heavy,Claude Sonnet 4.5,anthropic/claude-sonnet-4-5@20250929,C:\Users\chris\Downloads\results (41).zip,2026-04-13T17:25:12Z,False,True,False,1.000000,0.633333,True,False,False,8,0.000000,True,success
CUCV5-CONFLICT-RECONCIL-109-SECURITY-INCIDENT,CUCV4-CONFLICT-RECONCIL-109-SECURITY-INCIDENT,conflict_reconciliation,security_incident,board_update_v1,3,grounding_heavy,Claude Sonnet 4.5,anthropic/claude-sonnet-4-5@20250929,C:\Users\chris\Downloads\results (41).zip,2026-04-13T17:25:12Z,True,True,True,1.000000,1.000000,False,False,False,7,0.000000,True,success
CUCV5-CONFLICT-RECONCIL-110-LEGAL-CONTRACT,CUCV4-CONFLICT-RECONCIL-110-LEGAL-CONTRACT,conflict_reconciliation,legal_contract,legal_formal_v1,3,grounding_heavy,Claude Sonnet 4.5,anthropic/claude-sonnet-4-5@20250929,C:\Users\chris\Downloads\results (41).zip,2026-04-13T17:25:12Z,True,True,True,1.000000,1.000000,False,False,False,10,0.200000,True,success
CUCV5-CONFLICT-RECONCIL-111-PROCUREMENT-REVIEW,CUCV4-CONFLICT-RECONCIL-111-PROCUREMENT-REVIEW,conflict_reconciliation,procurement_review,procurement_memo_v1,3,grounding_heavy,Claude Sonnet 4.5,anthropic/claude-sonnet-4-5@20250929,C:\Users\chris\Downloads\results (41).zip,2026-04-13T17:25:12Z,False,True,False,1.000000,0.633333,True,False,False,10,0.200000,True,success
CUCV5-CONFLICT-RECONCIL-112-COMPLIANCE-AUDIT,CUCV4-CONFLICT-RECONCIL-112-COMPLIANCE-AUDIT,conflict_reconciliation,compliance_audit,compliance_memo_v1,3,grounding_heavy,Claude Sonnet 4.5,anthropic/claude-sonnet-4-5@20250929,C:\Users\chris\Downloads\results (41).zip,2026-04-13T17:25:12Z,True,True,True,1.000000,1.000000,False,False,False,9,0.000000,True,success
CUCV5-CONFLICT-RECONCIL-29-SECURITY-INCIDENT,CUCV4-CONFLICT-RECONCIL-29-SECURITY-INCIDENT,conflict_reconciliation,security_incident,board_update_v1,2,grounding_heavy,Claude Sonnet 4.5,anthropic/claude-sonnet-4-5@20250929,C:\Users\chris\Downloads\results (41).zip,2026-04-13T17:25:12Z,False,True,False,1.000000,0.633333,True,False,False,7,0.000000,True,success
CUCV5-CONFLICT-RECONCIL-30-LEGAL-CONTRACT,CUCV4-CONFLICT-RECONCIL-30-LEGAL-CONTRACT,conflict_reconciliation,legal_contract,legal_formal_v1,2,grounding_heavy,Claude Sonnet 4.5,anthropic/claude-sonnet-4-5@20250929,C:\Users\chris\Downloads\results (41).zip,2026-04-13T17:25:12Z,False,True,False,1.000000,0.633333,True,False,False,10,0.200000,True,success
